Sample,Total_reads,Mapped_reads,Mapping_percentage
AA_F00_1_1,10096438,7109382,70.4
AA_F00_2_1,13234904,9089150,68.7
AA_F00_3_1,15526541,9984423,64.3
AA_F00_4_1,12472308,8463334,67.9
AA_F25_1_1,12667673,6208595,49
AA_F25_2_1,14179387,6137084,43.3
AA_F25_3_1,15514942,4998946,32.2
AA_F25_4_1,17672040,8497029,48.1
AH_F25_1_1,13583085,7701140,56.7
AH_F25_2_1,16974866,7805925,46
AH_F25_3_1,11789974,6068772,51.5
AH_F25_4_1,11775438,5454288,46.3
HA_F25_1_1,11765302,4043492,34.4
HA_F25_2_1,11323381,3452910,30.5
HA_F25_3_1,13320385,4576356,34.4
HA_F25_4_1,19219246,6961373,36.2
HH_F25_1_1,13165189,3780641,28.7
HH_F25_2_1,11603156,4371117,37.7
HH_F25_3_1,13024050,3817951,29.3
HH_F25_4_1,11149139,3157206,28.3